corpus,layer,head,gqa_group,region,block_size,top_k,metric,contrast,mean_difference,documents,ci_low,ci_high
hotpotqa,0,0,0,local,16,4,jaccard,semantic_minus_fixed,0.0529761904761904,4,-0.03898809523809535,0.1291666666666666
hotpotqa,0,0,0,local,16,8,jaccard,semantic_minus_fixed,0.06893939393939394,4,0.03611111111111112,0.10285984848484822
hotpotqa,0,0,0,local,32,4,jaccard,semantic_minus_fixed,0.04375000000000004,4,-0.025000000000000022,0.1125000000000001
hotpotqa,0,0,0,local,32,8,jaccard,semantic_minus_fixed,0.09551767676767664,4,0.03939393939393937,0.14406565656565642
hotpotqa,0,0,0,local,64,4,jaccard,semantic_minus_fixed,0.04583333333333331,4,-0.008333333333333304,0.09999999999999992
hotpotqa,0,0,0,local,64,8,jaccard,semantic_minus_fixed,0.025883838383838342,4,-0.0013888888888889395,0.0533459595959595
hotpotqa,0,0,0,remote,16,4,jaccard,semantic_minus_fixed,0.1552083333333334,4,0.0168154761904762,0.3348214285714286
hotpotqa,0,0,0,remote,16,8,jaccard,semantic_minus_fixed,0.0223429348429348,4,-0.023903995310245313,0.09586177711177708
hotpotqa,0,0,0,remote,32,4,jaccard,semantic_minus_fixed,0.05193452380952385,4,-0.02931547619047617,0.11428571428571427
hotpotqa,0,0,0,remote,32,8,jaccard,semantic_minus_fixed,0.020945027195027194,4,-0.05099553224553219,0.09271076146076151
hotpotqa,0,0,0,remote,64,4,jaccard,semantic_minus_fixed,-0.01785714285714282,4,-0.09583333333333333,0.06011904761904768
hotpotqa,0,0,0,remote,64,8,jaccard,semantic_minus_fixed,0.011616161616161552,4,-0.018939393939393978,0.049999999999999906
hotpotqa,0,1,0,local,16,4,jaccard,semantic_minus_fixed,0.0870535714285714,4,0.07619047619047614,0.10089285714285712
hotpotqa,0,1,0,local,16,8,jaccard,semantic_minus_fixed,0.05088383838383842,4,-0.0006944444444443587,0.1003787878787879
hotpotqa,0,1,0,local,32,4,jaccard,semantic_minus_fixed,0.12083333333333338,4,0.11666666666666678,0.125
hotpotqa,0,1,0,local,32,8,jaccard,semantic_minus_fixed,0.03857323232323234,4,-0.002777777777777768,0.08327020202020202
hotpotqa,0,1,0,local,64,4,jaccard,semantic_minus_fixed,0.04255952380952385,4,-0.033333333333333326,0.11875000000000008
hotpotqa,0,1,0,local,64,8,jaccard,semantic_minus_fixed,0.021022727272727276,4,-0.03888888888888892,0.08093434343434347
hotpotqa,0,1,0,remote,16,4,jaccard,semantic_minus_fixed,-0.029910714285714318,4,-0.0986607142857143,0.04553571428571426
hotpotqa,0,1,0,remote,16,8,jaccard,semantic_minus_fixed,-0.017100260850260868,4,-0.08644619269619275,0.03849761349761355
hotpotqa,0,1,0,remote,32,4,jaccard,semantic_minus_fixed,-0.025000000000000022,4,-0.07508928571428578,0.0267857142857143
