layer,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,metric
0,0.007836443693595575,0.0033887607568764203,0.011697252644943514,8,True,0.0234375,0.046875,True,remote_middle_mass
1,0.00010072153643751053,-0.006267998119437177,0.006166475776940045,8,False,0.984375,0.984375,False,remote_middle_mass
2,0.009788585320150964,0.00038515256704891253,0.020061888760405006,8,True,0.109375,0.18229166666666666,False,remote_middle_mass
4,0.000258472571169073,-0.0055945572960190175,0.007402246659305005,8,False,0.9765625,0.984375,False,remote_middle_mass
8,0.003646880805855332,-0.0008223076448162035,0.009027056851628133,8,False,0.234375,0.322265625,False,remote_middle_mass
12,0.009751411728953087,0.004351016427791879,0.014436999896632616,8,True,0.015625,0.046875,True,remote_middle_mass
16,0.009779957752862535,0.0025795058611341147,0.018071783010347578,8,True,0.0234375,0.046875,True,remote_middle_mass
20,0.006126253207670233,-0.002909402528500124,0.014502676382235402,8,False,0.2578125,0.322265625,False,remote_middle_mass
24,-0.02018867167162178,-0.026725967134219694,-0.013776781171403336,8,True,0.0078125,0.0390625,True,remote_middle_mass
27,-0.037397268251605706,-0.045000444368398666,-0.030776763869548383,8,True,0.0078125,0.0390625,True,remote_middle_mass
0,-0.004185137351861656,-0.006996412520100876,-0.0005778564559497755,8,True,0.0546875,0.109375,False,remote_top1_fraction
1,-0.00149843623073782,-0.0028898491592836036,-0.00047409264853031513,8,True,0.015625,0.078125,False,remote_top1_fraction
2,-0.0020670275474721205,-0.004164779623328238,0.00011990776184873236,8,False,0.1171875,0.16741071428571427,False,remote_top1_fraction
4,-0.003626100442360662,-0.008969708764492707,0.001641101406527727,8,False,0.2734375,0.3038194444444444,False,remote_top1_fraction
8,-0.008637761392795162,-0.01451619027696563,-0.0025562084862767974,8,True,0.0390625,0.09765625,False,remote_top1_fraction
12,-0.010359172172875995,-0.015758677651729745,-0.004916943848403396,8,True,0.015625,0.078125,False,remote_top1_fraction
16,-0.023127144218621488,-0.04746063882560386,-0.0021914467753708115,8,True,0.1015625,0.16741071428571427,False,remote_top1_fraction
20,-0.0020981360374503003,-0.019726147362969758,0.014113152189226971,8,False,0.8203125,0.8203125,False,remote_top1_fraction
24,0.002185630935130037,-0.00031039987017126484,0.004543120342942514,8,False,0.140625,0.17578125,False,remote_top1_fraction
27,-0.0055873615470073325,-0.009060200721076453,-0.0018433396799009,8,True,0.03125,0.09765625,False,remote_top1_fraction
0,-0.008587379866172036,-0.012049294049714852,-0.004337364373508618,8,True,0.015625,0.125,False,remote_top4_fraction
1,-0.0005459639735792415,-0.001994960385800479,0.0007072090275291043,8,False,0.5078125,0.5078125,False,remote_top4_fraction
2,-0.005243554044984906,-0.00996999378138653,-0.0006265404332294983,8,True,0.0625,0.125,False,remote_top4_fraction
4,-0.0035302741445351685,-0.010798135901620931,0.003414246176562892,8,False,0.3828125,0.4253472222222222,False,remote_top4_fraction
8,-0.008840346803291599,-0.01561141112921826,-0.001818467006554464,8,True,0.0625,0.125,False,remote_top4_fraction
12,-0.008854369063871471,-0.013645669001090766,-0.003809692781311609,8,True,0.03125,0.125,False,remote_top4_fraction
16,-0.017663060851862193,-0.03684752931283865,-0.0002908529809353966,8,True,0.1328125,0.22135416666666666,False,remote_top4_fraction
20,-0.006303134758729331,-0.01837148101413455,0.005060065322142923,8,False,0.359375,0.4253472222222222,False,remote_top4_fraction
24,0.004260944614874487,0.0010504317471609838,0.007377611322622667,8,True,0.0546875,0.125,False,remote_top4_fraction
27,-0.0034053316410371653,-0.009331984112243397,0.0028294259021885808,8,False,0.3359375,0.4253472222222222,False,remote_top4_fraction
0,0.0022647294117787813,-0.0004165164165020255,0.004866958168898165,8,False,0.171875,0.34375,False,remote_top8_mass
1,0.000766118239466651,-0.0010146878856209368,0.002456647564179136,8,False,0.4375,0.625,False,remote_top8_mass
