context_length,cache_budget,policy,remote_count,delta_ce,kl_full_to_compact,top1_changed
16384,128,prefix,1,0.27451664955881316,0.3018866167998704,0.216796875
16384,128,prefix,4,0.281500575841485,0.3056035712480061,0.21875
16384,128,prefix,16,0.30274354430483275,0.3179759462709222,0.2265625
16384,128,prefix,64,0.3060926307336782,0.33714179519606446,0.228515625
16384,128,prefix_zero_value,4,1.1942172445285735,1.0713124694514349,0.396484375
16384,128,prefix_zero_value,16,1.1965739778742233,1.0755776661333343,0.408203125
16384,128,random_remote,16,1.8996572588208487,1.9851661743795415,0.638671875
16384,128,random_remote,64,1.7880468681877169,1.8835982650913863,0.587890625
16384,128,recent_only,0,1.9258868738298918,2.0353019401334365,0.615234375
16384,128,strided_remote,16,1.9971953142154,2.0870865152282754,0.625
16384,128,strided_remote,64,1.9691780867103534,2.0327876665180895,0.60546875
16384,512,prefix,1,0.07726373386743335,0.12925908275211467,0.162109375
16384,512,prefix,4,0.0821156972404693,0.12893245288438882,0.166015625
16384,512,prefix,16,0.08944428552601558,0.1369412573252406,0.1640625
16384,512,prefix,64,0.08645320290352965,0.13758439153698782,0.166015625
16384,512,prefix_zero_value,4,0.9082077051095041,0.8158801915956673,0.373046875
16384,512,prefix_zero_value,16,0.9265743052428164,0.8326830830192833,0.373046875
16384,512,random_remote,16,0.8409987341679215,0.9952695749937721,0.4140625
16384,512,random_remote,64,0.8845189847837776,1.041674219314194,0.421875
16384,512,recent_only,0,0.8573416064770032,1.015554659549604,0.412109375
16384,512,strided_remote,16,0.8668336007514159,1.02396423950532,0.4296875
16384,512,strided_remote,64,0.9180454036242156,1.0670101986801157,0.44140625
16384,2048,prefix,1,0.027009481837011684,0.0578887012036296,0.09375
16384,2048,prefix,4,0.02999618034965179,0.056316201473577125,0.099609375
16384,2048,prefix,16,0.0378457378912862,0.06615904914694569,0.09765625
16384,2048,prefix,64,0.03752045253984715,0.06670875908042893,0.10546875
16384,2048,prefix_zero_value,4,0.6870004125412912,0.6169302494286146,0.2890625
16384,2048,prefix_zero_value,16,0.6987935787568986,0.6277250118833155,0.296875
16384,2048,random_remote,16,0.48056379011838857,0.5559142688145764,0.294921875
