context_length,cache_budget,decode_quartile,prefix4_minus_recent_delta_ce
16384,128,0,-1.0078082858757096
16384,128,1,-1.5237265904157589
16384,128,2,-2.1924406157137923
16384,128,3,-1.8535696999483662
16384,512,0,-0.5152707519278774
16384,512,1,-0.7298867207935302
16384,512,2,-1.0457690729931262
16384,512,3,-0.8099770912316018
16384,2048,0,-0.36730679542855427
16384,2048,1,-0.39429370064173597
16384,2048,2,-0.6655154475246494
16384,2048,3,-0.34923495969913887
16384,8192,0,-0.3185249034281519
16384,8192,1,-0.2507078913620724
16384,8192,2,-0.5175390472786656
16384,8192,3,-0.2408429767572997
24576,128,0,-1.2630164786370557
24576,128,1,-1.798279258333423
24576,128,2,-1.989527702138247
24576,128,3,-2.468023290176859
24576,512,0,-1.0327969602318987
24576,512,1,-1.231121459361475
24576,512,2,-1.4050782496108738
24576,512,3,-1.5602760473726107
24576,2048,0,-0.6678460449483694
24576,2048,1,-0.6545663957751913
24576,2048,2,-0.6157908451065559
24576,2048,3,-0.6728535667362792
24576,8192,0,-0.3910691610269126
24576,8192,1,-0.5066939692670189
24576,8192,2,-0.4457067095685794
24576,8192,3,-0.3315329920264318
32768,128,0,-1.4829725343190034
32768,128,1,-2.0314243546567354
32768,128,2,-2.2482901949098206
32768,128,3,-2.4110481478130907
32768,512,0,-0.7646090753056853
32768,512,1,-1.4676953660297443
32768,512,2,-1.5618830665969519
32768,512,3,-1.5421795309583644
32768,2048,0,-0.3655376791149365
32768,2048,1,-0.7365299113858441
32768,2048,2,-0.8361299199891796
32768,2048,3,-0.5904127908241019
32768,8192,0,-0.22237955377676144
32768,8192,1,-0.2592272277497951
32768,8192,2,-0.4514945670495045
32768,8192,3,-0.38897923752048413
