context_length,recent_budget,criterion,threshold,long_context_tokens,recent_only_tokens,long_context_fraction,recent_only_fraction,documents,targets
32768,128,delta_ce_gt,0.0,690,334,0.673828125,0.326171875,16,1024
32768,128,delta_ce_gt,0.05,533,491,0.5205078125,0.4794921875,16,1024
32768,128,delta_ce_gt,0.1,480,544,0.46875,0.53125,16,1024
32768,128,delta_ce_gt,0.2,391,633,0.3818359375,0.6181640625,16,1024
32768,128,delta_ce_gt,0.5,249,775,0.2431640625,0.7568359375,16,1024
32768,128,top1_changed,1.0,261,763,0.2548828125,0.7451171875,16,1024
32768,512,delta_ce_gt,0.0,608,416,0.59375,0.40625,16,1024
32768,512,delta_ce_gt,0.05,424,600,0.4140625,0.5859375,16,1024
32768,512,delta_ce_gt,0.1,354,670,0.345703125,0.654296875,16,1024
32768,512,delta_ce_gt,0.2,267,757,0.2607421875,0.7392578125,16,1024
32768,512,delta_ce_gt,0.5,142,882,0.138671875,0.861328125,16,1024
32768,512,top1_changed,1.0,186,838,0.181640625,0.818359375,16,1024
32768,1024,delta_ce_gt,0.0,574,450,0.560546875,0.439453125,16,1024
32768,1024,delta_ce_gt,0.05,368,656,0.359375,0.640625,16,1024
32768,1024,delta_ce_gt,0.1,301,723,0.2939453125,0.7060546875,16,1024
32768,1024,delta_ce_gt,0.2,213,811,0.2080078125,0.7919921875,16,1024
32768,1024,delta_ce_gt,0.5,96,928,0.09375,0.90625,16,1024
32768,1024,top1_changed,1.0,151,873,0.1474609375,0.8525390625,16,1024
32768,2048,delta_ce_gt,0.0,549,475,0.5361328125,0.4638671875,16,1024
32768,2048,delta_ce_gt,0.05,326,698,0.318359375,0.681640625,16,1024
32768,2048,delta_ce_gt,0.1,254,770,0.248046875,0.751953125,16,1024
32768,2048,delta_ce_gt,0.2,179,845,0.1748046875,0.8251953125,16,1024
32768,2048,delta_ce_gt,0.5,71,953,0.0693359375,0.9306640625,16,1024
32768,2048,top1_changed,1.0,133,891,0.1298828125,0.8701171875,16,1024
32768,4096,delta_ce_gt,0.0,525,499,0.5126953125,0.4873046875,16,1024
32768,4096,delta_ce_gt,0.05,305,719,0.2978515625,0.7021484375,16,1024
32768,4096,delta_ce_gt,0.1,232,792,0.2265625,0.7734375,16,1024
32768,4096,delta_ce_gt,0.2,145,879,0.1416015625,0.8583984375,16,1024
32768,4096,delta_ce_gt,0.5,47,977,0.0458984375,0.9541015625,16,1024
32768,4096,top1_changed,1.0,113,911,0.1103515625,0.8896484375,16,1024
32768,8192,delta_ce_gt,0.0,516,508,0.50390625,0.49609375,16,1024
32768,8192,delta_ce_gt,0.05,267,757,0.2607421875,0.7392578125,16,1024
32768,8192,delta_ce_gt,0.1,190,834,0.185546875,0.814453125,16,1024
32768,8192,delta_ce_gt,0.2,102,922,0.099609375,0.900390625,16,1024
32768,8192,delta_ce_gt,0.5,22,1002,0.021484375,0.978515625,16,1024
32768,8192,top1_changed,1.0,85,939,0.0830078125,0.9169921875,16,1024
