router,feature,type_auc,low_budget,high_budget,static_budget,average_budget,high_fraction,metric,router_mean,static_mean,router_minus_static,ci_low,ci_high,oracle_mean,documents,targets
input_token_lookup,query_token_id,0.6321835027717381,128,2048,512,512.375,0.2001953125,delta_ce,0.2545053745009458,0.15602770858602666,0.09847766591491913,0.058915323999197786,0.14115297388251952,0.012343501487533715,16,1024
input_token_lookup,query_token_id,0.6321835027717381,128,2048,512,512.375,0.2001953125,top1_changed,0.2255859375,0.181640625,0.0439453125,0.0234375,0.064453125,0.205078125,16,1024
input_token_lookup,query_token_id,0.6321835027717381,512,2048,1024,1023.5,0.3330078125,delta_ce,0.1251070974063917,0.08183996156934015,0.04326713583705155,0.0068459448331229635,0.08465973722994329,-0.006351658922465919,16,1024
input_token_lookup,query_token_id,0.6321835027717381,512,2048,1024,1023.5,0.3330078125,top1_changed,0.158203125,0.1474609375,0.0107421875,-0.0048828125,0.02734375,0.138671875,16,1024
input_token_lookup,query_token_id,0.6321835027717381,2048,8192,4096,4094.0,0.3330078125,delta_ce,0.04090417745706221,0.017613972366253616,0.02329020509080859,-0.009588612759338422,0.07044091131285302,-0.0573497948475743,16,1024
input_token_lookup,query_token_id,0.6321835027717381,2048,8192,4096,4094.0,0.3330078125,top1_changed,0.109375,0.1103515625,-0.0009765625,-0.017578125,0.0185546875,0.1015625,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,128,2048,512,512.375,0.2001953125,delta_ce,0.23550705267886762,0.15602770858602666,0.07947934409284096,0.024801086571722964,0.13545152544054284,0.012343501487533715,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,128,2048,512,512.375,0.2001953125,top1_changed,0.232421875,0.181640625,0.05078125,0.02734375,0.0751953125,0.205078125,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,512,2048,1024,1023.5,0.3330078125,delta_ce,0.10580442741574947,0.08183996156934015,0.023964465846409322,-0.0015811668497757168,0.05303543707796313,-0.006351658922465919,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,512,2048,1024,1023.5,0.3330078125,top1_changed,0.1611328125,0.1474609375,0.013671875,0.0,0.02734375,0.138671875,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,2048,8192,4096,4094.0,0.3330078125,delta_ce,0.018574965599819304,0.017613972366253616,0.0009609932335656879,-0.013806518805465462,0.01744504590541232,-0.0573497948475743,16,1024
draft_token_lookup,draft_predicted_token_id,0.7333019921255215,2048,8192,4096,4094.0,0.3330078125,top1_changed,0.1015625,0.1103515625,-0.0087890625,-0.0244140625,0.0068359375,0.1015625,16,1024
