cache_budget,recent_count,metric,content_minus_function,ci_low,ci_high,documents
128,127,delta_ce,0.2437127872235123,0.02454438544226357,0.50571898095029,8
128,127,need,0.06685172721605334,-0.05450568366610345,0.19085835889828195,8
128,127,top1_changed,0.11083126588661965,0.025984821037777103,0.19228056066176466,8
512,511,delta_ce,0.06377918360921639,-0.03198747823150861,0.1478190575622728,8
512,511,need,0.10878011711370308,0.030496691430195257,0.18928782719984544,8
512,511,top1_changed,0.09105406228375075,0.03077334921037381,0.15216177714786977,8
2048,2047,delta_ce,0.03727818876160138,-0.006333859095532458,0.07328935805465757,8
2048,2047,need,0.11909152278301344,0.06670550593353668,0.17060375277912648,8
2048,2047,top1_changed,0.04507260295214205,-0.002875273900529303,0.10015417230110432,8
8192,8191,delta_ce,0.001486930241822072,-0.03755079743903749,0.043411933029537386,8
8192,8191,need,0.061100406722678316,-0.0005203256610422891,0.13411375123668898,8
8192,8191,top1_changed,0.0204207009002681,-0.014129877189818953,0.051873141113401446,8
