coarse_category,layer,region,attention_mass,attention_mass_median,documents,queries
content,0,recent_2k,0.6724286950436299,0.6743136964505538,8,230
content,0,remote_middle,0.32702490966336845,0.32517261018801946,8,230
content,0,sink_block_0,0.0005464412433312922,0.0004906641261186451,8,230
content,1,recent_2k,0.7039800080227787,0.7030816392507404,8,230
content,1,remote_middle,0.29161160025269844,0.2929975971346721,8,230
content,1,sink_block_0,0.00440843928321872,0.004386651096865535,8,230
content,2,recent_2k,0.6119332650408108,0.6123295420547947,8,230
content,2,remote_middle,0.37596893882740834,0.37699110186076723,8,230
content,2,sink_block_0,0.012097843294031917,0.010518849361687899,8,230
content,4,recent_2k,0.2712487726030699,0.2784146868507378,8,230
content,4,remote_middle,0.12173015859484028,0.12224405196320731,8,230
content,4,sink_block_0,0.6070211318523987,0.5882094502449036,8,230
content,8,recent_2k,0.4198404387155872,0.4166037992108613,8,230
content,8,remote_middle,0.12379451348569408,0.124222148082481,8,230
content,8,sink_block_0,0.4563651043435802,0.4491875022649765,8,230
content,12,recent_2k,0.5559971925257149,0.5525565689313225,8,230
content,12,remote_middle,0.16127724790998518,0.1518436132464558,8,230
content,12,sink_block_0,0.28272561152344167,0.27657370269298553,8,230
content,16,recent_2k,0.5258830428806781,0.5381884563830681,8,230
content,16,remote_middle,0.26724773620001085,0.2523590272467118,8,230
content,16,sink_block_0,0.2068692692110072,0.17943178862333298,8,230
content,20,recent_2k,0.5453902049470977,0.5537732868979219,8,230
content,20,remote_middle,0.1821875624037899,0.17505179192085052,8,230
content,20,sink_block_0,0.2724222815555075,0.24198829382658005,8,230
content,24,recent_2k,0.33076711979760465,0.3376812642090954,8,230
content,24,remote_middle,0.18601522057681943,0.19806096522370353,8,230
content,24,sink_block_0,0.4832177138846854,0.4636581689119339,8,230
content,27,recent_2k,0.47479139041616175,0.47538989316672087,8,230
content,27,remote_middle,0.3256874892891732,0.34847399865975603,8,230
content,27,sink_block_0,0.19952116384292426,0.14162929356098175,8,230
function,0,recent_2k,0.682657566689353,0.682498044334352,8,131
function,0,remote_middle,0.3168350644524072,0.3171143621148076,8,131
function,0,sink_block_0,0.0005074174894075059,0.000496996974106878,8,131
function,1,recent_2k,0.703770024243401,0.7074624767992646,8,131
function,1,remote_middle,0.2920754441368493,0.2894393414026126,8,131
function,1,sink_block_0,0.004154577694890154,0.004080016631633043,8,131
function,2,recent_2k,0.6203783645369255,0.6235357492696494,8,131
function,2,remote_middle,0.36843063940075477,0.36548520729411393,8,131
function,2,sink_block_0,0.011191042125907564,0.010366568341851234,8,131
function,4,recent_2k,0.289730647074295,0.29698769364040345,8,131
function,4,remote_middle,0.1268337752697765,0.1219220617931569,8,131
