coarse_category,fine_category,cache_budget,recent_count,tokens,documents,delta_ce,need_rate,top1_changed,kl
content,adjective,128,127,32,7,0.31634090046281926,0.4375,0.1875,0.40281880751717836
content,adjective,512,511,32,7,0.057262479182099923,0.4375,0.125,0.15716837931540795
content,adjective,2048,2047,32,7,0.04919461393728852,0.25,0.09375,0.08488636135007255
content,adjective,8192,8191,32,7,-0.034464215859770775,0.15625,0.0625,0.02806268302447279
content,adverb,128,127,24,8,0.1548861601313547,0.3333333333333333,0.4166666666666667,0.14495424837938722
content,adverb,512,511,24,8,0.11849396767441552,0.3333333333333333,0.3333333333333333,0.07131643392312981
content,adverb,2048,2047,24,8,0.04592476680287897,0.25,0.25,0.03704946391947791
content,adverb,8192,8191,24,8,-0.008782972096620748,0.125,0.08333333333333333,0.009479920885951287
content,common_noun,128,127,86,8,0.27006816180416304,0.47674418604651164,0.26744186046511625,0.24360733966306386
content,common_noun,512,511,86,8,0.21402345719959717,0.43023255813953487,0.23255813953488372,0.1777159199237384
content,common_noun,2048,2047,86,8,0.10891709913785552,0.36046511627906974,0.10465116279069768,0.08010299535927419
content,common_noun,8192,8191,86,8,0.06300998987235606,0.27906976744186046,0.09302325581395349,0.02446268707867758
content,number,128,127,19,4,0.6497124968890077,0.42105263157894735,0.3157894736842105,0.4972105007664619
content,number,512,511,19,4,0.136659502423036,0.21052631578947367,0.10526315789473684,0.057699711137873144
content,number,2048,2047,19,4,0.08539329132453961,0.21052631578947367,0.10526315789473684,0.027664562541582127
content,number,8192,8191,19,4,0.050654141939419695,0.10526315789473684,0.10526315789473684,0.01978838643287274
content,proper_noun,128,127,21,7,0.47967412945650895,0.2857142857142857,0.2857142857142857,0.5587556369303327
content,proper_noun,512,511,21,7,-0.156154929053671,0.14285714285714285,0.14285714285714285,0.37106506340937595
content,proper_noun,2048,2047,21,7,-0.12284246056463287,0.14285714285714285,0.09523809523809523,0.088384982114695
content,proper_noun,8192,8191,21,7,-0.018011686796723683,0.14285714285714285,0.047619047619047616,0.026477506461089564
content,verb,128,127,48,8,0.4557243737106849,0.4583333333333333,0.10416666666666667,0.3009423059074834
content,verb,512,511,48,8,0.12220915563364088,0.3125,0.16666666666666666,0.0818099641277854
content,verb,2048,2047,48,8,0.030452262948131192,0.2708333333333333,0.10416666666666667,0.04019460294918531
content,verb,8192,8191,48,8,-0.029309654061288864,0.125,0.041666666666666664,0.012526333533205758
function,adposition,128,127,46,8,-0.0012281751184238365,0.30434782608695654,0.13043478260869565,0.16336566883736572
function,adposition,512,511,46,8,-0.00906472146301024,0.15217391304347827,0.10869565217391304,0.13151219563682706
function,adposition,2048,2047,46,8,-0.010370117705188813,0.13043478260869565,0.08695652173913043,0.07498321745895184
function,adposition,8192,8191,46,8,0.01225085957190933,0.13043478260869565,0.06521739130434782,0.03611796111734926
function,auxiliary,128,127,25,7,0.06363829612790141,0.28,0.08,0.20621231454919325
function,auxiliary,512,511,25,7,-0.006376899273200252,0.2,0.04,0.13393241404992295
function,auxiliary,2048,2047,25,7,-0.04058778380171134,0.12,0.04,0.04928136194514991
function,auxiliary,8192,8191,25,7,-0.030812820076753268,0.04,0.0,0.009587060571893744
function,coordinating_conjunction,128,127,16,7,0.15533565608348,0.5,0.125,0.13672449075966142
function,coordinating_conjunction,512,511,16,7,0.05547961630145437,0.375,0.0625,0.06503744678957446
function,coordinating_conjunction,2048,2047,16,7,0.03438829746028205,0.25,0.0,0.02780880766295013
function,coordinating_conjunction,8192,8191,16,7,0.03137122019325034,0.1875,0.0,0.007779944086450996
function,determiner,128,127,34,8,0.37068360561833663,0.5294117647058824,0.2647058823529412,0.32149270397391827
function,determiner,512,511,34,8,0.2197855285861913,0.4117647058823529,0.23529411764705882,0.19702558285858043
function,determiner,2048,2047,34,8,0.09409566659151632,0.29411764705882354,0.14705882352941177,0.08344978856963708
function,determiner,8192,8191,34,8,0.022245323970256484,0.17647058823529413,0.11764705882352941,0.019528125878423452
function,particle,128,127,3,3,-0.001791443675604872,0.0,0.0,0.025154535736116184
function,particle,512,511,3,3,-0.026940053039197664,0.0,0.0,0.03386322339080531
function,particle,2048,2047,3,3,-0.014647480733856355,0.0,0.0,0.012782368848471984
function,particle,8192,8191,3,3,-0.009312119963245399,0.0,0.0,0.0026986534248104968
function,subordinating_conjunction,128,127,7,5,0.15561354405248753,0.42857142857142855,0.2857142857142857,0.10377722084844468
function,subordinating_conjunction,512,511,7,5,-0.018137785472910246,0.2857142857142857,0.14285714285714285,0.06199544591646194
function,subordinating_conjunction,2048,2047,7,5,0.00908382888909338,0.14285714285714285,0.14285714285714285,0.025543378396280656
function,subordinating_conjunction,8192,8191,7,5,0.013557614226458879,0.14285714285714285,0.14285714285714285,0.0070372674673698
other,other,128,127,40,8,0.7539042374221026,0.5,0.25,0.7979890556191094
other,other,512,511,40,8,0.11516040173082728,0.25,0.1,0.06204682693969517
other,other,2048,2047,40,8,-0.005679207195862545,0.1,0.025,0.023421144132771587
other,other,8192,8191,40,8,-0.02478454615938972,0.025,0.025,0.007350838321804077
special,negation,128,127,2,2,0.133511677988281,0.5,0.0,0.022110216174041852
special,negation,512,511,2,2,-0.006622730623348616,0.0,0.0,0.017542600660817698
special,negation,2048,2047,2,2,-0.019945926178479567,0.0,0.0,0.014792629393923562
special,negation,8192,8191,2,2,-0.042191691463813186,0.0,0.0,0.0023782461503287777
special,pronoun,128,127,51,8,0.09272764913083509,0.43137254901960786,0.21568627450980393,0.17253579372776157
special,pronoun,512,511,51,8,-0.010551237526955198,0.21568627450980393,0.11764705882352941,0.07309986288269368
special,pronoun,2048,2047,51,8,0.01235443615398396,0.1568627450980392,0.058823529411764705,0.03652769711113126
special,pronoun,8192,8191,51,8,-0.020240769509138203,0.0784313725490196,0.0392156862745098,0.010979789080635122
special,punctuation,128,127,55,8,0.10385064360823228,0.4,0.2,0.2495458163699368
special,punctuation,512,511,55,8,-0.015549480821275871,0.3090909090909091,0.18181818181818182,0.12980341156567607
special,punctuation,2048,2047,55,8,-0.028139360746718012,0.18181818181818182,0.09090909090909091,0.06712460990466669
special,punctuation,8192,8191,55,8,-0.01172745880797844,0.12727272727272726,0.03636363636363636,0.015478896107478332
special,question_word,128,127,3,2,0.20764621098836264,0.6666666666666666,0.6666666666666666,0.18066986898581186
special,question_word,512,511,3,2,0.1724699338277181,0.6666666666666666,0.6666666666666666,0.09447418401638667
special,question_word,2048,2047,3,2,0.06277720133463542,0.6666666666666666,0.3333333333333333,0.04390360042452812
special,question_word,8192,8191,3,2,0.05230919520060221,0.3333333333333333,0.3333333333333333,0.019527371196697157
