cache_budget,recent_count,coarse_category,tokens,top1_change_rate,definite_harm_rate,definite_benefit_rate,probabilistic_harm_rate,mean_delta_ce
128,127,content,230,0.24347826086956523,0.07391304347826087,0.008695652173913044,0.43043478260869567,0.3537326203074411
128,127,function,131,0.16030534351145037,0.030534351145038167,0.015267175572519083,0.3816793893129771,0.13516790010266994
128,127,other,40,0.25,0.2,0.0,0.5,0.7539042374221026
128,127,special,111,0.21621621621621623,0.04504504504504504,0.036036036036036036,0.42342342342342343,0.10207979723483797
512,511,content,230,0.1956521739130435,0.034782608695652174,0.004347826086956522,0.3521739130434783,0.1228938625369734
512,511,function,131,0.12213740458015267,0.030534351145038167,0.007633587786259542,0.2595419847328244,0.057833568749597955
512,511,other,40,0.1,0.025,0.0,0.25,0.11516040173082728
512,511,special,111,0.16216216216216217,0.018018018018018018,0.036036036036036036,0.2702702702702703,-0.008010542511787667
2048,2047,content,230,0.11739130434782609,0.013043478260869565,0.004347826086956522,0.2826086956521739,0.054555574173639834
2048,2047,function,131,0.08396946564885496,0.030534351145038167,0.0,0.183206106870229,0.01738465476348613
2048,2047,other,40,0.025,0.0,0.0,0.1,-0.005679207195862545
2048,2047,special,111,0.08108108108108109,0.018018018018018018,0.0,0.18018018018018017,-0.006929268879003258
8192,8191,content,230,0.07391304347826087,0.013043478260869565,0.004347826086956522,0.18695652173913044,0.014271881610291174
8192,8191,function,131,0.061068702290076333,0.015267175572519083,0.0,0.1297709923664122,0.008537912337138926
8192,8191,other,40,0.025,0.0,0.0,0.025,-0.02478454615938972
8192,8191,special,111,0.04504504504504504,0.009009009009009009,0.0,0.10810810810810811,-0.01445716465523137
